subject,n_back,trialN,blockN,rt,correct,trialType,stim_site,timepoint,counterbalance,sessionNum,days
D_EMO,0,1,1,0.6167514969999957,1,0,DAN,2,1,2,7
D_EMO,0,2,1,0.3320722290000049,1,0,DAN,2,1,2,7
D_EMO,0,3,1,0.3879484980000143,1,1,DAN,2,1,2,7
D_EMO,0,4,1,0.351001283999949,1,0,DAN,2,1,2,7
D_EMO,0,5,1,0.3807819860001018,1,1,DAN,2,1,2,7
D_EMO,0,6,1,0.2850291610000113,1,0,DAN,2,1,2,7
D_EMO,0,7,1,0.3714858069999991,1,0,DAN,2,1,2,7
D_EMO,0,8,1,0.4002347949999603,1,1,DAN,2,1,2,7
D_EMO,0,9,1,0.46909652599993024,1,0,DAN,2,1,2,7
D_EMO,0,10,1,0.3568343540000569,1,1,DAN,2,1,2,7
D_EMO,0,11,1,0.4083809479998308,1,0,DAN,2,1,2,7
D_EMO,0,12,1,0.3474872530000539,1,0,DAN,2,1,2,7
D_EMO,0,13,1,0.42709881099995073,1,1,DAN,2,1,2,7
D_EMO,0,14,1,0.2902399409999816,1,0,DAN,2,1,2,7
D_EMO,0,15,1,0.2914476299999933,1,0,DAN,2,1,2,7
D_EMO,0,16,1,0.33304298000007293,1,0,DAN,2,1,2,7
D_EMO,0,17,1,0.283795186000134,1,0,DAN,2,1,2,7
D_EMO,0,18,1,0.3674953230001847,1,1,DAN,2,1,2,7
D_EMO,1,1,1,0.4619460680000884,1,0,DAN,2,1,2,7
D_EMO,1,2,1,0.334224230000018,1,0,DAN,2,1,2,7
D_EMO,1,3,1,0.39104295100014497,1,0,DAN,2,1,2,7
D_EMO,1,4,1,0.42287218000001303,1,1,DAN,2,1,2,7
D_EMO,1,5,1,0.3043571499999871,1,0,DAN,2,1,2,7
D_EMO,1,6,1,0.29412907200003247,1,0,DAN,2,1,2,7
D_EMO,1,7,1,0.2838034050000715,1,0,DAN,2,1,2,7
D_EMO,1,8,1,0.25054531199998564,0,1,DAN,2,1,2,7
D_EMO,1,9,1,0.2660799999998744,1,0,DAN,2,1,2,7
D_EMO,1,10,1,0.3379426980000062,0,1,DAN,2,1,2,7
D_EMO,1,11,1,0.3083157750002101,1,0,DAN,2,1,2,7
D_EMO,1,12,1,0.261021884999991,1,0,DAN,2,1,2,7
D_EMO,1,13,1,0.29162425300000905,0,1,DAN,2,1,2,7
D_EMO,1,14,1,0.2282518560000426,1,0,DAN,2,1,2,7
D_EMO,1,15,1,0.3398926859999847,1,1,DAN,2,1,2,7
D_EMO,1,16,1,0.42144088000009106,1,0,DAN,2,1,2,7
D_EMO,1,17,1,0.26623114999983954,1,1,DAN,2,1,2,7
D_EMO,1,18,1,0.38070844400021997,1,0,DAN,2,1,2,7
D_EMO,2,1,1,0.27355983000006745,1,0,DAN,2,1,2,7
D_EMO,2,2,1,0.33617095800013885,1,0,DAN,2,1,2,7
D_EMO,2,3,1,0.38750996999988274,1,1,DAN,2,1,2,7
D_EMO,2,4,1,0.350894905000132,1,0,DAN,2,1,2,7
D_EMO,2,5,1,0.5045431949999966,1,0,DAN,2,1,2,7
D_EMO,2,6,1,0.3190985900000669,0,0,DAN,2,1,2,7
D_EMO,2,7,1,0.34036409500004083,1,0,DAN,2,1,2,7
D_EMO,2,8,1,0.3349011039999823,0,1,DAN,2,1,2,7
D_EMO,2,9,1,0.26037152699996113,1,0,DAN,2,1,2,7
D_EMO,2,10,1,0.27426599999989776,0,1,DAN,2,1,2,7
D_EMO,2,11,1,0.2871692730000177,1,0,DAN,2,1,2,7
D_EMO,2,12,1,0.2667025640000702,1,0,DAN,2,1,2,7
D_EMO,2,13,1,0.4370810600000823,1,1,DAN,2,1,2,7
D_EMO,2,14,1,0.3235709880000286,1,0,DAN,2,1,2,7
D_EMO,2,15,1,0.5618854659999215,1,1,DAN,2,1,2,7
D_EMO,2,16,1,0.26205891499989775,1,0,DAN,2,1,2,7
D_EMO,2,17,1,0.26616417199988973,0,1,DAN,2,1,2,7
D_EMO,2,18,1,0.4470125969999117,1,0,DAN,2,1,2,7
D_EMO,0,1,1,0.3930280380000113,1,0,FPCNB,3,2,3,14
D_EMO,0,2,1,0.3185540120000496,1,0,FPCNB,3,2,3,14
D_EMO,0,3,1,0.32839567700000316,1,0,FPCNB,3,2,3,14
D_EMO,0,4,1,0.3731228929999588,1,0,FPCNB,3,2,3,14
D_EMO,0,5,1,0.310487918999911,1,1,FPCNB,3,2,3,14
D_EMO,0,6,1,0.2658946679999872,1,0,FPCNB,3,2,3,14
D_EMO,0,7,1,0.28837164699996265,1,1,FPCNB,3,2,3,14
D_EMO,0,8,1,0.31228585699989253,1,0,FPCNB,3,2,3,14
D_EMO,0,9,1,0.322914634999961,1,0,FPCNB,3,2,3,14
D_EMO,0,10,1,0.3149114670000017,1,0,FPCNB,3,2,3,14
D_EMO,0,11,1,0.4253519360000837,1,1,FPCNB,3,2,3,14
D_EMO,0,12,1,0.3818203360000325,1,0,FPCNB,3,2,3,14
D_EMO,0,13,1,0.3903672739999138,1,1,FPCNB,3,2,3,14
D_EMO,0,14,1,0.3321141900000839,1,0,FPCNB,3,2,3,14
D_EMO,0,15,1,0.3432876359999,1,0,FPCNB,3,2,3,14
D_EMO,0,16,1,0.35395794300006855,1,1,FPCNB,3,2,3,14
D_EMO,0,17,1,0.2744079970000257,1,0,FPCNB,3,2,3,14
D_EMO,0,18,1,0.3879431110000269,1,1,FPCNB,3,2,3,14
D_EMO,1,1,1,0.27890021700000034,1,0,FPCNB,3,2,3,14
D_EMO,1,2,1,0.47234992500000317,1,0,FPCNB,3,2,3,14
D_EMO,1,3,1,0.3076027420000855,1,1,FPCNB,3,2,3,14
D_EMO,1,4,1,0.29972844999997506,1,0,FPCNB,3,2,3,14
